School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Helias Catholic,2.19,2.34,4.52,2,1,1
Ozark,2.2,2.05,4.26,1,2,2
Lafayette (Wildwood),2.12,2.01,4.13,3,3,3
Liberty,2.04,1.98,4.02,5,4,4
Villa Duchesne,2.05,1.83,3.88,4,5,5
Cor Jesu Academy,1.89,1.8,3.69,6,7,6
St. Joseph's Academy,1.79,1.81,3.6,7,6,7
Logan-Rogersville,1.77,1.76,3.54,9,9,8
Lee's Summit West,1.79,1.75,3.53,8,10,9
St. Pius X (Festus),1.64,1.71,3.35,10,11,10
Glendale,1.55,1.76,3.31,15,8,11
Parkway West,1.6,1.65,3.25,12,12,12
Platte County,1.59,1.54,3.13,14,14,13
Nerinx Hall,1.63,1.47,3.11,11,16,14
Lutheran St. Charles,1.45,1.55,3.01,20,13,15
Northwest (Cedar Hill),1.5,1.5,3.0,19,15,16
Francis Howell,1.5,1.43,2.94,18,19,17
Carl Junction,1.45,1.45,2.9,21,17,18
Nixa,1.44,1.44,2.89,22,18,19
Lee's Summit North,1.51,1.37,2.87,17,22,20
Eureka,1.51,1.33,2.84,16,27,21
Blue Springs,1.59,1.25,2.84,13,32,22
Lutheran South,1.4,1.33,2.73,23,26,23
Dexter,1.33,1.39,2.72,28,20,24
Kickapoo,1.38,1.31,2.7,27,28,25
Lee's Summit,1.39,1.3,2.69,24,29,26
Bishop DuBourg,1.31,1.34,2.65,30,24,27
Rock Bridge,1.27,1.38,2.65,32,21,28
St. Dominic,1.27,1.34,2.6,34,25,29
Webster Groves,1.39,1.18,2.57,25,36,30
Kirkwood,1.28,1.28,2.56,31,30,31
Fatima,1.27,1.24,2.51,33,33,32
St. Teresa's Academy,1.39,1.12,2.51,26,40,33
Pleasant Hill,1.15,1.35,2.5,41,23,34
Duchesne,1.26,1.23,2.49,35,34,35
Oakville,1.24,1.25,2.49,36,31,36
Ursuline Academy,1.31,1.14,2.46,29,38,37
Oak Park,1.15,1.2,2.35,39,35,38
Staley,1.12,1.17,2.3,42,37,39
Liberty (Mountain View),1.2,1.09,2.29,37,42,40
Blue Springs South,1.19,1.05,2.25,38,44,41
Perryville,1.1,1.13,2.23,43,39,42
Park Hill South,1.06,1.11,2.17,48,41,43
Windsor (Imperial),1.15,1.0,2.15,40,50,44
Marquette,1.07,1.07,2.13,45,43,45
St. Pius X (Kansas City),1.04,1.05,2.09,49,45,46
Francis Howell Central,1.08,1.0,2.09,44,49,47
Santa Fe,1.02,1.03,2.06,51,48,48
Notre Dame (Cape Girardeau),0.99,1.04,2.03,55,46,49
MICDS,0.98,1.03,2.01,57,47,50
New Haven,1.06,0.94,2.0,46,55,51
Carthage,1.0,0.99,1.99,53,51,52
Central (Park Hills),1.0,0.97,1.97,54,52,53
Republic,1.06,0.91,1.97,47,58,54
Mehlville,1.01,0.95,1.96,52,53,55
Winona,0.93,0.93,1.87,61,56,56
Ste. Genevieve,1.02,0.84,1.87,50,66,57
Incarnate Word Academy,0.96,0.91,1.87,59,59,58
Willard,0.94,0.89,1.83,60,61,59
Affton,0.89,0.93,1.82,65,57,60
Lebanon,0.88,0.94,1.82,66,54,61
Ft. Zumwalt West,0.98,0.82,1.81,56,70,62
Farmington,0.93,0.88,1.81,62,62,63
North County,0.91,0.85,1.75,63,65,64
Washington,0.86,0.89,1.75,68,60,65
Lindbergh,0.84,0.87,1.71,70,64,66
Jefferson City,0.87,0.83,1.71,67,67,67
Notre Dame de Sion,0.9,0.79,1.69,64,73,68
Westminster Christian Academy,0.97,0.71,1.68,58,82,69
Raymore-Peculiar,0.79,0.87,1.66,75,63,70
Savannah,0.81,0.83,1.64,74,68,71
St. Paul Lutheran (Concordia),0.83,0.8,1.63,71,71,72
Timberland,0.85,0.76,1.61,69,76,73
Winfield,0.78,0.83,1.61,77,69,74
Holt,0.83,0.77,1.6,72,74,75
Leopold,0.81,0.75,1.57,73,77,76
Francis Howell North,0.73,0.8,1.53,84,72,77
St. Vincent,0.78,0.74,1.52,76,79,78
Central (Springfield),0.73,0.74,1.48,83,78,79
Poplar Bluff,0.72,0.76,1.48,87,75,80
Waynesville,0.76,0.69,1.45,79,84,81
O'Hara,0.74,0.71,1.45,81,81,82
Valle Catholic,0.76,0.65,1.41,78,88,83
Ladue Horton Watkins,0.7,0.69,1.39,88,83,84
Branson,0.72,0.65,1.37,85,87,85
Buffalo,0.68,0.66,1.33,89,86,86
Pattonville,0.72,0.6,1.32,86,91,87
Kearney,0.59,0.71,1.3,96,80,88
St. Charles West,0.75,0.54,1.29,80,99,89
Summit Christian Academy,0.73,0.56,1.29,82,95,90
North Kansas City,0.66,0.62,1.28,92,89,91
Rolla,0.67,0.57,1.24,91,94,92
Arcadia Valley,0.63,0.59,1.22,93,92,93
Blair Oaks,0.53,0.68,1.21,107,85,94
Aurora,0.67,0.54,1.21,90,103,95
