School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Ozark,2.2,2.05,4.26,1,1,1
Lafayette (Wildwood),2.12,2.01,4.13,2,2,2
Liberty,2.04,1.98,4.02,3,3,3
Cor Jesu Academy,1.89,1.8,3.69,4,5,4
St. Joseph's Academy,1.79,1.81,3.6,5,4,5
Lee's Summit West,1.79,1.75,3.53,6,7,6
Glendale,1.55,1.76,3.31,11,6,7
Parkway West,1.6,1.65,3.25,8,8,8
Platte County,1.59,1.54,3.13,10,9,9
Nerinx Hall,1.63,1.47,3.11,7,11,10
Northwest (Cedar Hill),1.5,1.5,3.0,15,10,11
Francis Howell,1.5,1.43,2.94,14,14,12
Carl Junction,1.45,1.45,2.9,16,12,13
Nixa,1.44,1.44,2.89,17,13,14
Lee's Summit North,1.51,1.37,2.87,13,16,15
Eureka,1.51,1.33,2.84,12,17,16
Blue Springs,1.59,1.25,2.84,9,22,17
Kickapoo,1.38,1.31,2.7,21,18,18
Lee's Summit,1.39,1.3,2.69,18,19,19
Rock Bridge,1.27,1.38,2.65,24,15,20
Webster Groves,1.39,1.18,2.57,19,24,21
Kirkwood,1.28,1.28,2.56,23,20,22
St. Teresa's Academy,1.39,1.12,2.51,20,27,23
Oakville,1.24,1.25,2.49,25,21,24
Ursuline Academy,1.31,1.14,2.46,22,26,25
Oak Park,1.15,1.2,2.35,27,23,26
Staley,1.12,1.17,2.3,28,25,27
Blue Springs South,1.19,1.05,2.25,26,30,28
Park Hill South,1.06,1.11,2.17,32,28,29
Marquette,1.07,1.07,2.13,30,29,30
Francis Howell Central,1.08,1.0,2.09,29,31,31
Carthage,1.0,0.99,1.99,34,32,32
Republic,1.06,0.91,1.97,31,35,33
Mehlville,1.01,0.95,1.96,33,33,34
Incarnate Word Academy,0.96,0.91,1.87,37,36,35
Willard,0.94,0.89,1.83,38,38,36
Lebanon,0.88,0.94,1.82,41,34,37
Ft. Zumwalt West,0.98,0.82,1.81,35,43,38
Farmington,0.93,0.88,1.81,39,39,39
Washington,0.86,0.89,1.75,43,37,40
Lindbergh,0.84,0.87,1.71,45,41,41
Jefferson City,0.87,0.83,1.71,42,42,42
Notre Dame de Sion,0.9,0.79,1.69,40,45,43
Westminster Christian Academy,0.97,0.71,1.68,36,51,44
Raymore-Peculiar,0.79,0.87,1.66,47,40,45
Timberland,0.85,0.76,1.61,44,48,46
Holt,0.83,0.77,1.6,46,46,47
Francis Howell North,0.73,0.8,1.53,50,44,48
Central (Springfield),0.73,0.74,1.48,49,49,49
Poplar Bluff,0.72,0.76,1.48,53,47,50
Waynesville,0.76,0.69,1.45,48,53,51
Ladue Horton Watkins,0.7,0.69,1.39,54,52,52
Branson,0.72,0.65,1.37,51,54,53
Pattonville,0.72,0.6,1.32,52,56,54
Kearney,0.59,0.71,1.3,57,50,55
North Kansas City,0.66,0.62,1.28,56,55,56
Rolla,0.67,0.57,1.24,55,58,57
Visitation Academy,0.58,0.55,1.12,58,61,58
Camdenton,0.55,0.56,1.11,61,60,59
Park Hill,0.54,0.56,1.1,62,59,60
Joplin,0.5,0.58,1.09,64,57,61
Ft. Zumwalt East,0.53,0.54,1.07,63,62,62
William Chrisman,0.57,0.51,1.07,59,64,63
Parkway Central,0.49,0.52,1.01,65,63,64
Jackson,0.47,0.44,0.91,66,65,65
Grain Valley,0.56,0.3,0.86,60,68,66
Parkway North,0.39,0.36,0.74,68,66,67
Troy Buchanan,0.37,0.34,0.71,70,67,68
Hannibal,0.39,0.28,0.67,67,69,69
Ft. Zumwalt North,0.37,0.2,0.58,69,75,70
Hillsboro,0.21,0.27,0.47,76,70,71
Rockwood Summit,0.21,0.25,0.46,75,71,72
Belton,0.27,0.19,0.46,72,76,73
Seckman,0.21,0.23,0.45,74,73,74
Pacific,0.32,0.12,0.44,71,81,75
Fox,0.23,0.21,0.44,73,74,76
Central (St. Joseph),0.17,0.24,0.41,77,72,77
Ritenour,0.12,0.14,0.26,79,77,78
Webb City,0.11,0.13,0.24,80,80,79
Winnetonka,0.14,0.07,0.22,78,82,80
Liberty North,0.0,0.13,0.13,81,79,81
Parkway South,-0.02,0.13,0.11,84,78,82
McCluer North,-0.01,0.02,0.01,83,83,83
McDonald County,-0.01,-0.02,-0.03,82,85,84
Neosho,-0.04,-0.04,-0.07,85,86,85
Ft. Zumwalt South,-0.18,0.01,-0.17,89,84,86
West Plains,-0.16,-0.06,-0.22,88,87,87
Hickman,-0.15,-0.08,-0.23,87,88,88
Hillcrest,-0.15,-0.14,-0.29,86,89,89
Central (Cape Girardeau),-0.23,-0.17,-0.4,91,90,90
Hazelwood Central,-0.23,-0.18,-0.4,90,91,91
Fort Osage,-0.25,-0.18,-0.43,92,92,92
Sikeston,-0.28,-0.28,-0.56,93,93,93
McCluer,-0.31,-0.35,-0.65,94,95,94
Raytown,-0.33,-0.34,-0.68,95,94,95
Hazelwood West,-0.36,-0.41,-0.77,96,96,96
Raytown South,-0.52,-0.43,-0.95,97,97,97
Battle,-0.64,-0.54,-1.18,98,98,98
Hazelwood East,-0.73,-0.72,-1.45,99,100,99
Parkview,-0.82,-0.66,-1.48,101,99,100
Gateway,-0.77,-0.92,-1.69,100,101,101
Grandview,-1.08,-1.02,-2.1,102,102,102
Riverview Gardens,-1.23,-1.18,-2.41,103,103,103
Ruskin,-1.57,-1.43,-3.0,104,104,104
