Date,Home Team,Home Score,Away Team,Away Score
2014-08-21,Union,2,Ava,1
2014-08-21,Crystal City,0,Bismarck,0
2014-08-21,Fairfax,0,Nodaway-Holt,2
2014-08-22,Belle,2,Chamois,0
2014-08-22,Senath-Hornersville,1,Clarkton,2
2014-08-22,Parkway West,1,Cor Jesu Academy,2
2014-08-22,Hazelwood West,0,Ft. Zumwalt South,2
2014-08-22,Waynesville,0,Glendale,2
2014-08-22,Cleveland NJROTC,0,Hancock,2
2014-08-22,Central (Springfield),2,Hillcrest,0
2014-08-22,St. Joseph's Academy,2,Jefferson City,0
2014-08-22,Pattonville,2,Ladue Horton Watkins,1
2014-08-22,Washington,0,Marquette,2
2014-08-22,Advance,2,Meadow Heights,0
2014-08-22,Francis Howell,2,Oakville,0
2014-08-22,Parkway Central,2,Parkway South,0
2014-08-22,Oran,0,Saxony Lutheran,2
2014-08-22,Barat Academy,0,Ursuline Academy,2
2014-08-22,Bunker,0,Valley,2
2014-08-22,McCluer North,0,Webster Groves,2
2014-08-22,St. Paul Lutheran (Farmington),0,West County,3
2014-08-22,Central (Cape Girardeau),0,Woodland,2
2014-08-23,Poplar Bluff,0,Affton,2
2014-08-23,Webb City,1,Affton,1
2014-08-23,Mehlville,0,Affton,2
2014-08-23,Jefferson (Festus),1,Affton,1
2014-08-23,Windsor (Imperial),2,Affton,0
2014-08-23,Poplar Bluff,2,Clayton,0
2014-08-23,Webb City,0,Clayton,2
2014-08-23,St. Pius X (Festus),2,Clayton,0
2014-08-23,Mehlville,2,Clayton,0
2014-08-23,Windsor (Imperial),2,Clayton,0
2014-08-23,St. Joseph's Academy,2,Jefferson City,0
2014-08-23,Poplar Bluff,1,Mehlville,1
2014-08-23,St. Pius X (Festus),2,Mehlville,0
2014-08-23,Jefferson (Festus),0,Mehlville,2
2014-08-23,St. Pius X (Festus),2,Poplar Bluff,0
2014-08-23,Jefferson (Festus),0,Poplar Bluff,2
2014-08-23,Jefferson (Festus),2,Webb City,0
2014-08-23,Windsor (Imperial),2,Webb City,0
2014-08-23,St. Pius X (Festus),2,Webb City,0
2014-08-23,St. Pius X (Festus),2,Windsor (Imperial),0
2014-08-23,Jefferson (Festus),0,Windsor (Imperial),2
2014-08-25,Fox,0,Affton,2
2014-08-25,Union,2,Ava,1
